trial,fast_score,full_net,full_trades,full_pf,full_dd,oos_net,oos_trades,oos_pf,oos_dd,rsi_period,rsi_overbought,rsi_oversold,rsi_target_buy,rsi_target_sell,bars_to_wait,use_trailing,trail_distance_pts,trail_activation_pts,lot_size
228,-inf,-24335.49999999986,3429,0.6786179336356702,247.49621091257018,-11975.29999999998,1239,0.6734982659716016,124.3189999999998,12,12.4,67.2,95.7,9.6,6,True,120,35,0.1
231,-inf,3990.9000000005362,3089,1.0556411439693154,38.534431434803224,7596.400000000009,1039,1.2363681623000806,19.899693249501496,10,21.7,72.9,97.8,16.7,3,False,120,35,0.1
235,-inf,7983.6000000010135,6034,1.0715309684402183,71.25826328436197,14497.200000000023,2140,1.2873834137831914,27.554863767519883,12,4.2,58.2,85.6,-0.8,1,False,40,70,0.1
236,-inf,4821.500000000891,5295,1.0421682795534357,62.14369477095224,7313.70000000003,1875,1.131996231618312,38.56820681042988,16,80.4,56.0,73.7,44.0,1,False,120,35,0.1
239,-inf,12639.60000000101,6155,1.0678510193542619,41.54603556113668,10207.500000000004,2209,1.1128439210761365,48.94279954013033,16,62.6,44.7,75.8,42.0,1,False,71,35,0.1
240,-inf,11696.600000000824,5938,1.0671480148549315,52.22479468306646,8501.899999999969,2094,1.0986056793456835,64.00022584993697,14,66.8,49.1,81.8,30.5,1,False,40,35,0.1
242,-inf,-1666.6999999998316,911,0.922928593228333,33.27802960724362,1216.300000000012,327,1.119228733311114,15.067141296302792,21,21.3,71.2,87.2,21.2,2,False,120,70,0.1
244,-inf,-7059.399999999361,4354,0.9674575252340878,82.0655753702,-12472.799999999994,1529,0.8867881371162608,122.51479559318939,10,76.1,46.3,74.1,36.1,4,False,90,70,0.1
246,-inf,-10575.299999999736,2056,0.7740624659500968,140.36939840545747,-1945.6000000000022,776,0.9144294711656876,54.203506668664794,21,10.4,65.7,93.3,5.4,12,True,90,55,0.1
248,-inf,2372.4000000014257,8327,1.0112207933730961,79.99656873957441,4523.200000000039,2951,1.0448648262618705,59.555926837847196,10,74.2,42.9,78.5,60.8,1,False,40,41,0.1
250,-inf,25741.200000000666,4269,1.1901817872856055,28.229003564645993,15087.100000000017,1543,1.2257105113946607,50.741419963322045,21,69.8,45.2,83.9,33.4,1,False,120,35,0.1
252,-inf,-31235.29999999954,6189,0.7476989411292434,325.44326417154315,-12317.300000000014,2264,0.7947858857713129,137.15293771745002,14,80.0,49.7,85.8,50.8,3,True,71,20,0.1
254,-inf,-7796.899999999493,4438,0.9139151815731782,131.338272978283,1029.7999999999884,1591,1.026631427049335,43.28500000000019,18,18.7,57.4,97.5,13.7,6,True,40,41,0.1
255,-inf,-50701.39999999991,3688,0.5277387601202684,503.9360076219198,-24940.80000000001,1297,0.5061257061839236,249.40800000000013,21,74.6,52.5,85.8,18.5,8,True,120,20,0.1
256,-inf,-24129.79999999975,3489,0.7545681920588485,256.12905143626944,-8763.500000000015,1232,0.8016769258622245,103.88863987250376,18,70.0,40.0,72.3,19.3,6,True,71,90,0.1
257,-inf,-39642.09999999996,3272,0.5690214129782486,396.5120903595286,-14948.50000000001,1176,0.6256960998377442,151.15253797739817,18,72.3,40.9,76.0,44.5,12,True,120,20,0.1
259,-inf,1221.4000000003143,2046,1.0077362847844635,37.6102635689825,-1338.3000000000065,717,0.9830407526291712,45.32193723065095,10,68.5,52.3,79.1,25.5,12,False,120,20,0.1
261,-inf,-19630.099999999744,5011,0.7954946545512919,234.44884822838497,-2959.900000000007,1833,0.930631787651102,68.64900000000013,16,8.0,56.1,93.2,3.0,3,True,90,70,0.1
262,-inf,-3343.6999999999116,444,0.6956676071721131,35.36333547399034,-1778.699999999999,158,0.6632971775796466,19.624852528577243,18,20.0,77.5,85.9,15.0,2,False,90,41,0.1
263,-inf,-11898.499999999603,5721,0.8824385515789325,149.1437421199417,-1365.300000000003,2081,0.9702916652160283,45.05786490316492,16,16.8,52.6,97.2,8.5,2,True,40,41,0.1
266,-inf,21187.300000000683,3967,1.1308559153917046,30.418098031000458,10578.89999999999,1388,1.1330528619401579,54.75055800205105,12,63.9,43.4,88.7,23.6,2,False,71,41,0.1
267,-inf,1705.3000000005031,2695,1.029246014323735,59.08214804637302,6973.900000000049,943,1.2581233783778785,22.20185028151454,12,11.3,68.4,93.1,6.3,2,False,90,90,0.1
269,-inf,15904.700000001016,5709,1.1400372265678675,37.609785183630194,16574.19999999998,1989,1.322501683121695,25.852122689416955,16,19.7,55.2,92.2,14.7,1,False,150,90,0.1
270,-inf,-14212.899999999854,3671,0.9260978034571471,142.87224215724405,-12945.700000000015,1236,0.8637086713235183,128.4184895417533,14,68.2,45.8,73.7,25.8,2,False,150,20,0.1
271,-inf,-70.99999999945976,3128,0.9989080585280643,69.00500861163921,6752.399999999976,1076,1.2374128037803793,22.197779463485297,10,20.4,72.9,95.6,13.8,2,False,71,35,0.1
273,-inf,-3549.8999999998896,644,0.7555636654088744,46.61699999999889,-720.4999999999891,258,0.908010316122772,18.74067294108276,21,10.6,72.8,94.7,5.6,8,True,90,35,0.1
274,-inf,-9376.599999999893,1761,0.9252214065546704,106.6413516183236,-13031.4,617,0.81075790360291,139.29654640816395,18,70.0,56.1,74.0,30.8,8,False,55,90,0.1
275,-inf,-27822.999999999938,6279,0.7429943015916577,304.76479303178746,-6661.00000000003,2265,0.8665154335893742,94.31400000000029,21,70.1,50.2,80.6,51.3,1,True,120,41,0.1
277,-inf,-5467.599999999874,799,0.6971412428752638,75.64999999999874,23.200000000006185,318,1.002679881253537,23.063183746371873,18,4.0,73.7,95.9,-1.0,6,True,150,20,0.1
