trial,net,trades,pf,fast_ema,slow_ema,trend_leg_bars,min_ema_gap_pips,cross_cooldown,pullback_cooldown,use_pullback,pullback_touch,atr_period,atr_sl_mult,atr_tp_mult,max_bars_in_trade,htf_ema_period,use_htf_filter,use_adx_filter,adx_period,adx_min,session_start,session_end,max_spread_pips,lot_size,initial_balance
541,-2567.189999999987,713,0.7447459032611841,10,50,40,1.6,6,3,True,0,14,2.42,5.91,96,100,True,False,14,21.9,8,22,6.0,0.1,10000.0
542,-1924.4100000000017,342,0.5606109038436071,11,48,32,1.1,10,5,True,1,20,2.14,5.86,64,200,True,True,14,17.7,7,22,6.0,0.1,10000.0
543,-735.0900000000074,177,0.6919037180782176,10,50,56,0.9,7,2,False,0,20,2.3,5.03,64,100,True,False,14,16.7,8,22,6.0,0.1,10000.0
544,-3960.0700000000015,1158,0.7459431820952132,10,42,32,0.7,9,4,True,0,14,2.42,5.76,96,100,False,False,14,18.8,8,21,6.0,0.1,10000.0
545,-4424.289999999999,1151,0.7308449478941701,8,42,48,1.8,8,2,True,0,14,2.6,5.45,96,200,False,True,14,16.0,8,21,8.0,0.1,10000.0
546,-409.36999999999716,79,0.6775725593667545,12,40,32,0.9,7,5,False,1,14,2.72,5.15,64,100,False,True,14,23.6,8,22,6.0,0.1,10000.0
547,40.68000000000393,41,1.0590489461766244,10,46,64,2.1,6,5,False,0,20,2.49,5.56,96,200,True,False,14,19.7,8,21,6.0,0.1,10000.0
548,-1311.92,158,0.5148798958703112,12,50,56,1.1,9,4,False,1,14,3.19,6.92,48,100,False,False,14,20.9,8,21,8.0,0.1,10000.0
549,-71.54999999999927,69,0.937833423115019,12,40,72,1.4,10,2,False,0,20,2.25,6.83,96,100,True,False,14,23.6,8,22,8.0,0.1,10000.0
550,-1785.049999999992,412,0.7028467647827512,11,38,48,2.1,10,4,True,1,20,2.37,7.21,96,100,True,False,14,16.3,7,21,8.0,0.1,10000.0
551,-1825.66999999999,345,0.5644985460782279,12,48,48,0.8,10,5,True,1,20,2.23,6.43,48,200,True,True,14,19.1,7,22,8.0,0.1,10000.0
552,-149.9800000000123,131,0.9279361525266552,12,42,56,1.0,7,2,False,1,20,3.01,6.38,80,100,True,False,14,16.7,7,22,6.0,0.1,10000.0
553,51.5099999999984,46,1.0643609511076682,12,42,32,1.7,10,2,False,0,14,2.89,4.89,96,200,True,False,14,21.2,7,22,6.0,0.1,10000.0
554,-266.7999999999993,35,0.5773063578320314,12,44,72,2.1,9,4,False,0,20,2.1,4.93,48,100,True,False,14,23.4,7,21,6.0,0.1,10000.0
555,-5328.440000000008,1601,0.7100141878863641,10,46,40,0.7,9,4,True,0,14,2.59,4.57,48,200,False,False,14,17.7,8,22,8.0,0.1,10000.0
556,-4901.370000000005,1078,0.6313334627066399,11,42,40,1.1,7,2,True,0,20,2.58,6.34,48,100,False,True,14,18.0,7,21,6.0,0.1,10000.0
557,-3540.11999999999,988,0.6746909898891138,12,38,64,1.5,7,3,True,0,14,2.04,4.92,48,100,True,False,14,19.9,7,22,8.0,0.1,10000.0
558,-1652.7199999999957,400,0.724468599436507,11,52,56,1.5,9,3,True,0,14,2.82,7.16,80,200,True,True,14,22.3,8,21,6.0,0.1,10000.0
