side,open_time,close_time,profit,exit_reason
SELL,2025-07-10 00:15:00,2025-07-10 00:30:00,1.8900000000000001,trail
SELL,2025-07-10 01:15:00,2025-07-10 02:45:00,8.01,trail
SELL,2025-07-21 16:15:00,2025-07-21 17:00:00,5.62,trail
SELL,2025-07-21 17:15:00,2025-07-21 17:30:00,-0.13,trail
SELL,2025-07-21 18:15:00,2025-07-21 20:30:00,-15.96,sl
SELL,2025-07-22 16:15:00,2025-07-22 16:30:00,5.19,trail
SELL,2025-07-22 17:15:00,2025-07-22 17:45:00,4.52,trail
SELL,2025-07-22 18:15:00,2025-07-22 18:30:00,0.05,trail
SELL,2025-07-22 19:15:00,2025-07-23 00:00:00,4.85,trail
BUY,2025-07-30 15:00:00,2025-07-30 15:15:00,8.52,trail
BUY,2025-07-30 16:00:00,2025-07-30 16:15:00,13.47,trail
BUY,2025-07-30 20:15:00,2025-07-30 21:30:00,6.47,trail
BUY,2025-07-30 21:30:00,2025-07-30 21:45:00,33.26,trail
BUY,2025-07-30 22:30:00,2025-07-31 05:15:00,-17.19,sl
BUY,2025-08-11 15:00:00,2025-08-11 16:15:00,2.37,trail
BUY,2025-08-11 16:15:00,2025-08-11 17:00:00,7.8100000000000005,trail
BUY,2025-08-11 17:15:00,2025-08-11 18:30:00,0.39,trail
BUY,2025-08-11 18:30:00,2025-08-11 23:15:00,-11.07,sl
SELL,2025-08-20 16:15:00,2025-08-20 16:45:00,3.31,trail
SELL,2025-08-20 17:15:00,2025-08-20 17:45:00,4.96,trail
SELL,2025-08-20 18:15:00,2025-08-20 20:00:00,6.14,trail
SELL,2025-08-20 20:00:00,2025-08-21 00:15:00,5.17,trail
SELL,2025-08-22 16:15:00,2025-08-22 16:45:00,-11.97,sl
SELL,2025-08-22 17:15:00,2025-08-22 18:00:00,30.14,trail
SELL,2025-08-22 18:15:00,2025-08-25 00:00:00,5.51,trail
SELL,2025-08-29 16:15:00,2025-08-29 16:45:00,11.94,trail
SELL,2025-08-29 17:15:00,2025-08-29 17:30:00,16.23,trail
SELL,2025-08-29 18:15:00,2025-08-29 23:30:00,-12.07,sl
SELL,2025-09-05 15:00:00,2025-09-05 15:15:00,15.61,trail
SELL,2025-09-05 16:00:00,2025-09-05 16:15:00,0.91,trail
SELL,2025-09-05 17:00:00,2025-09-05 18:00:00,0.1,trail
SELL,2025-09-05 18:00:00,2025-09-05 19:30:00,12.29,trail
SELL,2025-09-05 19:30:00,2025-09-05 21:00:00,-21.11,sl
SELL,2025-09-08 15:00:00,2025-09-08 15:15:00,-0.01,trail
SELL,2025-09-08 16:00:00,2025-09-08 16:45:00,8.14,trail
SELL,2025-09-16 15:00:00,2025-09-16 15:15:00,-14.41,sl
SELL,2025-09-16 16:00:00,2025-09-16 16:15:00,8.21,trail
SELL,2025-09-16 17:00:00,2025-09-16 17:15:00,8.8,trail
SELL,2025-09-16 18:00:00,2025-09-16 20:30:00,14.95,trail
SELL,2025-09-30 16:15:00,2025-09-30 17:00:00,15.23,trail
SELL,2025-09-30 17:15:00,2025-09-30 18:15:00,-20.28,sl
SELL,2025-09-30 18:15:00,2025-09-30 19:30:00,9.44,trail
SELL,2025-09-30 19:30:00,2025-09-30 20:30:00,13.65,trail
BUY,2025-10-08 16:15:00,2025-10-08 16:45:00,5.78,trail
BUY,2025-10-08 17:15:00,2025-10-08 18:30:00,2.71,trail
BUY,2025-10-08 18:30:00,2025-10-08 18:45:00,3.89,trail
BUY,2025-10-08 19:30:00,2025-10-08 22:00:00,-13.12,sl
BUY,2025-10-09 16:15:00,2025-10-09 16:30:00,12.97,trail
BUY,2025-10-09 17:15:00,2025-10-09 18:00:00,10.51,trail
BUY,2025-10-09 18:15:00,2025-10-09 21:45:00,25.09,tp
SELL,2025-10-15 16:15:00,2025-10-15 16:30:00,4.07,trail
SELL,2025-10-15 17:15:00,2025-10-15 18:15:00,8.39,trail
SELL,2025-10-15 18:15:00,2025-10-15 18:30:00,23.48,trail
SELL,2025-10-15 19:15:00,2025-10-15 20:15:00,4.84,trail
SELL,2025-10-16 00:15:00,2025-10-16 00:45:00,-0.36,trail
SELL,2025-10-16 01:15:00,2025-10-16 03:30:00,11.8,trail
SELL,2025-10-16 20:15:00,2025-10-16 21:45:00,0.08,trail
SELL,2025-10-16 21:45:00,2025-10-17 02:45:00,17.75,tp
SELL,2025-10-28 16:15:00,2025-10-28 16:45:00,8.92,trail
SELL,2025-10-28 17:15:00,2025-10-28 17:30:00,6.82,trail
SELL,2025-10-28 18:15:00,2025-10-28 18:30:00,3.93,trail
SELL,2025-10-28 19:15:00,2025-10-29 05:15:00,-10.03,sl
BUY,2025-10-29 20:15:00,2025-10-29 21:00:00,8.08,trail
BUY,2025-10-29 21:15:00,2025-10-29 21:30:00,40.92,trail
BUY,2025-10-29 22:15:00,2025-10-30 00:00:00,-21.98,sl
BUY,2025-10-30 00:00:00,2025-10-30 03:15:00,7.6,trail
BUY,2025-10-30 15:00:00,2025-10-30 15:15:00,1.7,trail
BUY,2025-10-30 16:00:00,2025-10-30 17:00:00,-18.8,sl
BUY,2025-10-31 15:00:00,2025-10-31 15:30:00,0.81,trail
BUY,2025-10-31 16:00:00,2025-10-31 16:30:00,3.37,trail
BUY,2025-11-03 15:00:00,2025-11-03 15:30:00,3.05,trail
BUY,2025-11-03 16:00:00,2025-11-03 16:45:00,2.05,trail
BUY,2025-11-04 00:15:00,2025-11-04 01:00:00,0.32,trail
BUY,2025-11-04 01:15:00,2025-11-04 02:00:00,5.86,trail
BUY,2025-11-04 20:15:00,2025-11-04 23:00:00,6.29,trail
BUY,2025-11-04 23:00:00,2025-11-05 00:00:00,-9.72,sl
BUY,2025-11-05 00:00:00,2025-11-05 01:00:00,1.53,trail
SELL,2025-11-11 15:00:00,2025-11-11 15:15:00,20.19,trail
SELL,2025-11-11 16:00:00,2025-11-11 16:15:00,-0.18,trail
